Région,Agriculteurs Actifs ayant un emploi RP2014,Agriculteurs Chômeurs RP2014,"Artisans, commerçants, chefs d'entreprise Actifs ayant un emploi RP2014","Artisans, commerçants, chefs d'entreprise Chômeurs RP2014",Cadres et professions intellectuelles supérieures Actifs ayant un emploi RP2014,Cadres et professions intellectuelles supérieures Chômeurs RP2014,Professions intermédiaires Actifs ayant un emploi RP2014,Professions intermédiaires Chômeurs RP2014,Employés Actifs ayant un emploi RP2014,Employés Chômeurs RP2014,Ouvriers Actifs ayant un emploi RP2014,Ouvriers Chômeurs RP2014
Île-de-France,3373.2971246316306,195.0538952128834,203747.80154146373,17112.882402250776,1287916.5331821796,61943.34070444246,1095707.3542339774,120136.33985355665,1017210.9405028858,171489.38482831602,521635.1192851909,112144.25551254346
Centre-Val de Loire,13731.136316109587,164.913387237671,47577.25627001321,3168.8495964206504,108799.29930866645,4139.7100866552955,210089.4110037138,16730.919522008477,218766.43042525923,32895.24869699677,184516.57922812138,36237.92152764125
Bourgogne-Franche-Comté,20314.763142020594,177.68336061058025,53729.92592486015,3471.206196223389,105346.02050167212,3894.7479829043027,221856.9206715794,17036.689777874744,227162.95722450965,34036.105975678125,219598.0020616122,42277.99266526829
Normandie,19265.89201967377,162.36083100004933,61807.70323997359,4309.923695406453,125731.44819107148,4575.836184408217,265518.32819178817,21068.120831291766,279644.81978484936,47312.820230937265,250432.20827631894,50014.55620273682
Hauts-de-France,17767.0709607866,184.59423825296517,87398.1608278261,8462.259655469981,248085.08705697552,9086.003241320639,472126.2581113837,42533.98497239863,499288.7151410908,98340.15195269026,436388.5674557031,118181.60648079368
Grand Est,25048.025285302505,257.5008482957889,90645.31815068856,7089.486076890895,239530.7177399717,8518.544068459512,450269.0815710408,36268.18584228924,477570.3539184947,78390.11605741337,432458.41582926497,93951.77531787509
Pays de la Loire,28429.581399906427,361.8365376191661,72190.70964976179,4607.509194025583,166422.39362700522,6945.779367045109,310325.4425018496,26362.763621190974,304496.6241477992,42459.57371094143,288689.5093436536,47783.556180858366
Bretagne,27348.911435457656,316.551150671956,67631.8383648881,4662.362704519699,145134.50433111074,6458.435125620678,267529.7861581915,23288.268806384527,268943.3574249019,37705.04983577231,231276.37285724992,39380.38368765277
Nouvelle-Aquitaine,46101.74974715279,679.489112572202,135543.55013699373,9541.8652917386,239035.38479670236,11413.86202796755,457808.7292223806,43522.8204700236,502338.9303843136,81598.2241511141,378054.2574724036,76223.43577255728
Occitanie,40227.560146762444,659.7642805679294,138923.4652475293,12304.483460032507,280739.62129065837,14877.409210316091,456963.2431117172,49851.42823966325,461748.8705231977,93523.34490450216,291516.96866902837,76681.65242935265
Auvergne-Rhône-Alpes,38505.32274219839,434.9538475314654,176843.73377160414,10982.871913650808,437617.50207906595,18264.120170304206,695165.4050632257,58154.13438068269,642512.1739280937,95025.11825495794,506347.76714132656,94313.53596544782
Provence-Alpes-Côte d'Azur,11413.706458241619,268.78294925382215,125864.0567604672,10413.313680351268,240365.3393806628,12336.932525560722,389968.68269349897,40929.35962774254,423285.79427643074,82949.2456533489,235309.4739870911,60144.25576169569
Corse,1698.6109889179365,14.159136714251163,10371.014780098463,592.8995524578263,10244.633495120386,435.976441585314,22313.648588875105,2022.0881982948902,32467.822414393828,5976.8677412803845,18318.965904329852,3168.379136411416
