"inventory_id";"film_id";"store_id";"last_update"
1;1;1;"2017-09-22 10:28:48"
2;1;1;"2017-09-22 10:28:48"
3;1;1;"2017-09-22 10:28:48"
4;1;1;"2017-09-22 10:28:48"
5;1;2;"2017-09-22 10:28:48"
6;1;2;"2017-09-22 10:28:48"
7;1;2;"2017-09-22 10:28:48"
8;1;2;"2017-09-22 10:28:48"
9;2;2;"2017-09-22 10:28:48"
10;2;2;"2017-09-22 10:28:48"
11;2;2;"2017-09-22 10:28:48"
12;3;2;"2017-09-22 10:28:48"
13;3;2;"2017-09-22 10:28:48"
14;3;2;"2017-09-22 10:28:48"
15;3;2;"2017-09-22 10:28:48"
16;4;1;"2017-09-22 10:28:48"
17;4;1;"2017-09-22 10:28:48"
18;4;1;"2017-09-22 10:28:48"
19;4;1;"2017-09-22 10:28:48"
20;4;2;"2017-09-22 10:28:48"
21;4;2;"2017-09-22 10:28:48"
22;4;2;"2017-09-22 10:28:48"
23;5;2;"2017-09-22 10:28:48"
24;5;2;"2017-09-22 10:28:48"
25;5;2;"2017-09-22 10:28:48"
26;6;1;"2017-09-22 10:28:48"
27;6;1;"2017-09-22 10:28:48"
28;6;1;"2017-09-22 10:28:48"
29;6;2;"2017-09-22 10:28:48"
30;6;2;"2017-09-22 10:28:48"
31;6;2;"2017-09-22 10:28:48"
32;7;1;"2017-09-22 10:28:48"
33;7;1;"2017-09-22 10:28:48"
34;7;2;"2017-09-22 10:28:48"
35;7;2;"2017-09-22 10:28:48"
36;7;2;"2017-09-22 10:28:48"
37;8;2;"2017-09-22 10:28:48"
38;8;2;"2017-09-22 10:28:48"
39;8;2;"2017-09-22 10:28:48"
40;8;2;"2017-09-22 10:28:48"
41;9;1;"2017-09-22 10:28:48"
42;9;1;"2017-09-22 10:28:48"
43;9;1;"2017-09-22 10:28:48"
44;9;2;"2017-09-22 10:28:48"
45;9;2;"2017-09-22 10:28:48"
46;10;1;"2017-09-22 10:28:48"
47;10;1;"2017-09-22 10:28:48"
48;10;1;"2017-09-22 10:28:48"
49;10;1;"2017-09-22 10:28:48"
50;10;2;"2017-09-22 10:28:48"
51;10;2;"2017-09-22 10:28:48"
52;10;2;"2017-09-22 10:28:48"
53;11;1;"2017-09-22 10:28:48"
54;11;1;"2017-09-22 10:28:48"
55;11;1;"2017-09-22 10:28:48"
